algorithm,objective,dims,runs,success_ratio,success_pct,avg_clicks,avg_time_ms,avg_guesses,avg_completion,avg_time_per_click_ms,avg_completion_per_click,avg_guess_rate
partitioned_sat,MinRotation,4x4x4,30,0.9333333333333333,93.33333333333333,24.833333333333332,183.4,1.1666666666666667,97.59466666666667,6.965491869294962,4.4426964051488,0.05510170423810319
scip_solver,MaxInformation,4x4x4,30,0.9666666666666667,96.66666666666667,25.4,4418.266666666666,1.0333333333333334,97.08866666666667,165.87877237573628,4.261519596250185,0.07383852929583519
scip_solver,MinDistance,4x4x4,30,0.9,90.0,23.633333333333333,3829.3333333333335,1.2333333333333334,94.30366666666667,153.05291392511592,4.550832939644606,0.09482201195634041
scip_solver,MinRotation,4x4x4,30,0.9,90.0,23.5,3609.6,1.1666666666666667,94.97866666666667,149.610031456413,4.560199972650236,0.06486601681247377
exact_solver,MaxInformation,5x5x5,30,0.0,0.0,30.366666666666667,380.1666666666667,5.2,81.001,11.04525050219138,3.240362315613916,0.209128097372066
exact_solver,MinDistance,5x5x5,30,0.0,0.0,23.266666666666666,261.9,3.2666666666666666,66.205,8.957071882412423,3.2209228120467404,0.31264620648243735
exact_solver,MinRotation,5x5x5,30,0.0,0.0,21.3,222.23333333333332,2.566666666666667,60.57,7.427891517395177,3.637014468147305,0.3411925427441704
global_sat,MaxInformation,5x5x5,30,0.7333333333333333,73.33333333333333,38.733333333333334,2447.133333333333,1.3333333333333333,82.35799999999999,49.74015303841693,2.5306608756572206,0.17957000311938875
global_sat,MinDistance,5x5x5,30,0.7333333333333333,73.33333333333333,37.63333333333333,1512.8,1.3333333333333333,82.35799999999999,32.27740571019361,2.5839087867682737,0.18020556703491664
global_sat,MinRotation,5x5x5,30,0.7333333333333333,73.33333333333333,36.36666666666667,1157.3666666666666,1.3333333333333333,82.35799999999999,25.66002133520356,2.647387051709203,0.18089964255423363
greedy,MaxInformation,5x5x5,30,0.0,0.0,7.833333333333333,3.3,7.833333333333333,50.542,0.420204536279587,9.032681340187121,1.0
greedy,MinDistance,5x5x5,30,0.0,0.0,8.566666666666666,3.0,8.566666666666666,47.48066666666667,0.4372758272958502,7.63318497495597,1.0
greedy,MinRotation,5x5x5,30,0.0,0.0,7.7,2.066666666666667,7.7,45.20466666666667,0.2772894308420624,7.502285500074974,1.0
partitioned_sat,MaxInformation,5x5x5,30,0.7333333333333333,73.33333333333333,38.766666666666666,2057.9666666666667,1.3333333333333333,82.35799999999999,41.20680359360226,2.5391361368886765,0.17959375036502576
partitioned_sat,MinDistance,5x5x5,30,0.7333333333333333,73.33333333333333,37.5,1152.6,1.3333333333333333,82.35799999999999,23.97733473639668,2.6006786728657714,0.18033902398214494
partitioned_sat,MinRotation,5x5x5,30,0.7333333333333333,73.33333333333333,36.733333333333334,779.2333333333333,1.3333333333333333,82.35799999999999,16.75646946968521,2.64099569576008,0.18086849525944634
scip_solver,MaxInformation,5x5x5,30,0.9333333333333333,93.33333333333333,47.5,14480.966666666667,1.2333333333333334,99.946,298.8084351842745,2.3086704072896604,0.028499041610348226
scip_solver,MinDistance,5x5x5,30,0.8333333333333334,83.33333333333334,41.266666666666666,10994.4,1.3666666666666667,91.89699999999999,251.1634878277095,2.543921079347647,0.08590434995625545
scip_solver,MinRotation,5x5x5,30,0.7666666666666667,76.66666666666667,37.2,9118.166666666666,1.3333333333333333,81.92466666666665,212.6487620227817,2.5939235870626467,0.1871930795203106
exact_solver,MaxInformation,6x6x6,30,0.0,0.0,45.2,1219.8333333333333,4.666666666666667,86.66633333333333,25.63234220084856,2.084413177306117,0.10623135768131385
exact_solver,MinDistance,6x6x6,30,0.0,0.0,29.4,624.1,3.3333333333333335,61.44166666666667,15.850441005239068,2.269581573764162,0.2505214795932696
exact_solver,MinRotation,6x6x6,30,0.0,0.0,28.5,533.2333333333333,2.9,62.22866666666666,14.8258359582752,2.3581681933095147,0.20538541563409232
global_sat,MaxInformation,6x6x6,30,0.8,80.0,57.766666666666666,9707.866666666667,1.4,88.38966666666667,146.29869076658426,1.6269620721460645,0.08889407699081048
global_sat,MinDistance,6x6x6,30,0.8,80.0,55.2,5462.166666666667,1.4,88.38966666666667,87.77951877478542,1.69074703021786,0.08956275177024087
